Dia;       Thursday, 14. July 2022;  Hora de Inicio;    11:03:21
11:59:58; 32.60; 17.00;  1
12:00:58; 32.70; 17.00;  1
12:01:58; 32.70; 17.00;  1
12:02:59; 32.70; 17.00;  1
12:03:59; 32.60; 17.00;  1
12:05:00; 32.60; 17.00;  1
12:06:01; 32.60; 17.00;  1
12:07:01; 32.60; 17.00;  1
12:08:02; 32.60; 17.00;  1
12:09:02; 32.60; 18.00;  1
12:10:03; 32.60; 17.00;  1
12:11:03; 32.60; 17.00;  1
12:12:04; 32.60; 17.00;  1
12:13:04; 32.60; 17.00;  1
12:14:05; 32.60; 17.00;  1
12:15:05; 32.70; 18.00;  1
12:16:05; 32.80; 18.00;  1
12:17:06; 32.90; 18.00;  1
12:18:06; 33.00; 18.00;  1
12:19:07; 32.90; 18.00;  1
12:20:07; 33.00; 19.00;  1
12:21:08; 33.00; 19.00;  1
12:22:08; 33.00; 20.00;  1
12:23:09; 33.00; 20.00;  1
12:24:09; 33.00; 21.00;  1
12:25:10; 33.00; 21.00;  1
12:26:10; 33.00; 22.00;  1
12:27:11; 33.00; 22.00;  1
12:28:11; 33.00; 22.00;  1
12:29:12; 33.00; 22.00;  1
12:30:12; 33.00; 22.00;  1
12:31:12; 33.00; 22.00;  1
12:32:13; 33.00; 23.00;  1
12:33:13; 33.10; 23.00;  1
12:34:14; 33.10; 23.00;  1
12:35:14; 33.10; 23.00;  1
12:36:15; 33.10; 24.00;  1
12:37:15; 33.20; 24.00;  1
12:38:16; 33.10; 24.00;  1
12:39:16; 33.20; 24.00;  1
12:40:17; 33.10; 24.00;  1
12:41:17; 33.10; 24.00;  1
12:42:18; 33.10; 24.00;  1
12:43:18; 33.20; 24.00;  1
12:44:19; 33.20; 24.00;  1
12:45:19; 33.20; 24.00;  1
12:46:19; 33.20; 24.00;  1
12:47:20; 33.20; 24.00;  1
12:48:20; 33.20; 24.00;  1
12:49:21; 33.30; 23.00;  1
12:50:21; 33.30; 23.00;  1
12:51:22; 33.30; 23.00;  1
12:52:22; 33.40; 23.00;  1
12:53:23; 33.40; 23.00;  1
12:54:23; 33.40; 23.00;  1
12:55:24; 33.40; 23.00;  1
12:56:24; 33.40; 23.00;  1
12:57:25; 33.40; 23.00;  1
12:58:25; 33.40; 23.00;  1
12:59:26; 33.40; 22.00;  1
13:00:26; 33.40; 22.00;  1
13:01:26; 33.40; 22.00;  1
13:02:27; 33.40; 22.00;  1
13:03:27; 33.50; 22.00;  1
13:04:28; 33.40; 22.00;  1
13:05:28; 33.40; 22.00;  1
13:06:29; 33.40; 22.00;  1
13:07:29; 33.40; 22.00;  1
13:08:30; 33.40; 22.00;  1
13:09:30; 33.40; 22.00;  1
13:10:31; 33.40; 22.00;  1
13:11:31; 33.50; 22.00;  1
13:12:32; 33.50; 22.00;  1
13:13:32; 33.40; 22.00;  1
13:14:33; 33.40; 22.00;  1
13:15:33; 33.40; 22.00;  1
13:16:33; 33.40; 22.00;  1
13:17:34; 33.40; 22.00;  1
13:18:34; 33.40; 23.00;  1
13:19:35; 33.40; 23.00;  1
13:20:35; 33.30; 23.00;  1
13:21:36; 33.30; 23.00;  1
13:22:36; 33.20; 23.00;  1
13:23:37; 33.30; 23.00;  1
13:24:37; 33.20; 23.00;  1
13:25:38; 33.20; 23.00;  1
13:26:38; 33.20; 23.00;  1
13:27:39; 33.20; 23.00;  1
13:28:39; 33.20; 23.00;  1
13:29:40; 33.20; 23.00;  1
13:30:40; 33.20; 23.00;  1
13:31:40; 33.20; 23.00;  1
13:32:41; 33.20; 23.00;  1
13:33:41; 33.20; 23.00;  1
13:34:42; 33.20; 23.00;  1
13:35:42; 33.20; 23.00;  1
13:36:43; 33.20; 23.00;  1
13:37:43; 33.10; 23.00;  1
13:38:44; 33.10; 23.00;  1
13:39:44; 33.20; 23.00;  1
13:40:45; 33.20; 23.00;  1
13:41:45; 33.20; 23.00;  1
13:42:46; 33.20; 23.00;  1
13:43:46; 33.20; 23.00;  1
13:44:47; 33.20; 23.00;  1
13:45:47; 33.20; 23.00;  1
13:46:47; 33.20; 23.00;  1
13:47:48; 33.20; 23.00;  1
13:48:48; 33.20; 22.00;  1
13:49:49; 33.10; 23.00;  1
13:50:49; 33.10; 23.00;  1
13:51:50; 33.00; 23.00;  1
13:52:50; 33.00; 23.00;  1
13:53:51; 33.00; 23.00;  1
13:54:51; 33.00; 23.00;  1
13:55:52; 33.00; 23.00;  1
13:56:52; 33.00; 23.00;  1
13:57:53; 33.00; 23.00;  1
13:58:53; 33.00; 23.00;  1
13:59:54; 33.00; 23.00;  1
14:00:54; 33.00; 23.00;  1
14:01:54; 33.00; 23.00;  1
14:02:55; 33.00; 23.00;  1
14:03:55; 33.10; 22.00;  1
14:04:56; 33.00; 22.00;  1
14:05:56; 33.10; 22.00;  1
14:06:57; 33.10; 22.00;  1
14:07:57; 33.10; 22.00;  1
14:08:58; 33.10; 22.00;  1
14:09:58; 33.10; 22.00;  1
14:10:59; 33.00; 22.00;  1
14:11:59; 33.00; 22.00;  1
14:13:00; 33.00; 22.00;  1
14:14:01; 33.00; 22.00;  1
14:15:01; 33.00; 22.00;  1
14:16:01; 33.00; 22.00;  1
14:17:02; 33.00; 22.00;  1
14:18:02; 33.00; 22.00;  1
14:19:03; 33.00; 22.00;  1
14:20:03; 33.00; 22.00;  1
14:21:04; 33.00; 22.00;  1
14:22:04; 33.10; 22.00;  1
14:23:05; 33.10; 22.00;  1
14:24:05; 33.20; 22.00;  1
14:25:06; 33.20; 22.00;  1
14:26:06; 33.10; 22.00;  1
14:27:07; 33.10; 22.00;  1
14:28:07; 33.10; 22.00;  1
14:29:08; 33.00; 22.00;  1
14:30:08; 33.00; 22.00;  1
14:31:08; 33.00; 22.00;  1
14:32:09; 33.00; 22.00;  1
14:33:09; 33.00; 22.00;  1
14:34:10; 33.00; 22.00;  1
14:35:10; 33.10; 22.00;  1
14:36:11; 33.10; 22.00;  1
14:37:11; 33.10; 22.00;  1
14:38:12; 33.20; 22.00;  1
14:39:12; 33.20; 22.00;  1
14:40:13; 33.20; 22.00;  1
14:41:13; 33.20; 22.00;  1
14:42:14; 33.20; 22.00;  1
14:43:14; 33.20; 22.00;  1
14:44:15; 33.20; 22.00;  1
14:45:15; 33.20; 22.00;  1
14:46:15; 33.20; 22.00;  1
14:47:16; 33.20; 22.00;  1
14:48:16; 33.20; 22.00;  1
14:49:17; 33.20; 21.00;  1
14:50:17; 33.20; 21.00;  1
14:51:18; 33.20; 21.00;  1
14:52:18; 33.20; 21.00;  1
14:53:19; 33.20; 21.00;  1
14:54:19; 33.20; 21.00;  1
14:55:20; 33.20; 20.00;  1
14:56:20; 33.20; 20.00;  1
14:57:21; 33.10; 20.00;  1
14:58:21; 33.10; 20.00;  1
14:59:22; 33.10; 20.00;  1
15:00:22; 33.10; 20.00;  1
15:01:22; 33.20; 20.00;  1
15:02:23; 33.20; 20.00;  1
15:03:23; 33.20; 20.00;  1
15:04:24; 33.20; 20.00;  1
15:05:24; 33.20; 19.00;  1
15:06:25; 33.20; 19.00;  1
15:07:25; 33.20; 20.00;  1
15:08:26; 33.20; 20.00;  1
15:09:26; 33.10; 20.00;  1
15:10:27; 33.10; 20.00;  1
15:11:27; 33.10; 20.00;  1
15:12:28; 33.20; 20.00;  1
15:13:28; 33.20; 20.00;  1
15:14:29; 33.20; 21.00;  1
15:15:29; 33.20; 21.00;  1
15:16:29; 33.10; 21.00;  1
15:17:30; 33.10; 22.00;  1
15:18:30; 33.00; 22.00;  1
15:19:31; 33.00; 22.00;  1
15:20:31; 33.00; 22.00;  1
15:21:32; 33.00; 22.00;  1
15:22:32; 33.00; 23.00;  1
15:23:33; 33.00; 23.00;  1
15:24:33; 33.00; 23.00;  1
15:25:34; 33.00; 23.00;  1
15:26:34; 33.00; 23.00;  1
15:27:35; 33.00; 23.00;  1
15:28:35; 33.10; 23.00;  1
15:29:36; 33.10; 23.00;  1
15:30:36; 33.10; 23.00;  1
15:31:36; 33.10; 23.00;  1
15:32:37; 33.10; 23.00;  1
15:33:37; 33.20; 23.00;  1
15:34:38; 33.20; 23.00;  1
15:35:38; 33.20; 23.00;  1
15:36:39; 33.20; 23.00;  1
15:37:39; 33.20; 23.00;  1
15:38:40; 33.10; 23.00;  1
15:39:40; 33.10; 23.00;  1
15:40:41; 33.10; 23.00;  1
15:41:41; 33.10; 23.00;  1
15:42:42; 33.00; 23.00;  1
15:43:42; 33.00; 23.00;  1
15:44:43; 33.00; 23.00;  1
15:45:43; 33.00; 23.00;  1
15:46:43; 33.00; 23.00;  1
15:47:44; 33.10; 23.00;  1
15:48:44; 33.10; 23.00;  1
15:49:45; 33.10; 23.00;  1
15:50:45; 33.10; 23.00;  1
15:51:46; 33.10; 23.00;  1
15:52:46; 33.00; 23.00;  1
15:53:47; 33.00; 23.00;  1
15:54:47; 33.00; 23.00;  1
15:55:48; 33.10; 23.00;  1
15:56:48; 33.20; 23.00;  1
15:57:49; 33.20; 23.00;  1
15:58:49; 33.20; 23.00;  1
15:59:50; 33.30; 23.00;  1
16:00:50; 33.30; 23.00;  1
16:01:51; 33.30; 23.00;  1
16:02:51; 33.30; 23.00;  1
16:03:52; 33.30; 23.00;  1
16:04:53; 33.40; 22.00;  1
16:05:54; 33.40; 22.00;  1
16:06:54; 33.40; 22.00;  1
16:07:55; 33.40; 22.00;  1
16:08:56; 33.30; 22.00;  1
16:09:57; 33.30; 22.00;  1
16:10:57; 33.30; 21.00;  1
16:11:58; 33.20; 21.00;  1
16:12:59; 33.20; 21.00;  1
16:14:00; 33.20; 21.00;  1
16:15:01; 33.30; 21.00;  1
16:16:02; 33.30; 21.00;  1
16:17:02; 33.30; 21.00;  1
16:18:03; 33.30; 20.00;  1
16:19:04; 33.30; 20.00;  1
16:20:05; 33.30; 20.00;  1
16:21:05; 33.30; 20.00;  1
16:22:06; 33.20; 20.00;  1
16:23:07; 33.20; 20.00;  1
16:24:08; 33.10; 20.00;  1
16:25:08; 33.10; 20.00;  1
16:26:09; 33.10; 20.00;  1
16:27:10; 33.10; 20.00;  1
16:28:11; 33.00; 20.00;  1
16:29:11; 33.00; 19.00;  1
16:30:12; 33.00; 20.00;  1
16:31:13; 33.00; 20.00;  1
16:32:13; 33.10; 19.00;  1
16:33:14; 33.20; 19.00;  1
16:34:15; 33.20; 19.00;  1
16:35:16; 33.30; 19.00;  1
16:36:16; 33.30; 18.00;  1
16:37:17; 33.40; 18.00;  1
16:38:18; 33.30; 18.00;  1
16:39:19; 33.30; 18.00;  1
16:40:19; 33.30; 18.00;  1
16:41:20; 33.30; 18.00;  1
16:42:21; 33.20; 18.00;  1
16:43:22; 33.20; 18.00;  1
16:44:22; 33.20; 18.00;  1
16:45:23; 33.20; 19.00;  1
16:46:24; 33.10; 19.00;  1
16:47:24; 33.10; 19.00;  1
16:48:25; 33.10; 19.00;  1
16:49:26; 33.10; 19.00;  1
16:50:27; 33.20; 19.00;  1
16:51:27; 33.20; 19.00;  1
16:52:28; 33.20; 18.00;  1
16:53:29; 33.20; 18.00;  1
16:54:30; 33.20; 18.00;  1
16:55:30; 33.20; 18.00;  1
16:56:31; 33.00; 19.00;  1
16:57:32; 32.90; 19.00;  1
16:58:33; 32.80; 19.00;  1
16:59:33; 32.80; 20.00;  1
17:00:34; 32.70; 20.00;  1
17:01:35; 32.80; 20.00;  1
17:02:35; 32.80; 20.00;  1
17:03:36; 32.80; 20.00;  1
17:04:37; 32.80; 20.00;  1
17:05:38; 32.80; 20.00;  1
17:06:38; 32.60; 20.00;  1
17:07:39; 32.60; 20.00;  1
17:08:40; 32.50; 20.00;  1
17:09:41; 32.40; 20.00;  1
17:10:41; 32.30; 20.00;  1
